人物1,人物2,关系
齐桓公,齐襄公,兄弟
齐襄公,文姜,兄妹|情人
文姜,宣姜,姐妹
文姜,鲁恒公,夫妻
宣姜,卫宣公,夫妻
卫宣公,卫惠公,继承|父子
卫宣公,急子,父子
宣姜,急子,未婚妻
宣姜,卫公子寿,母子
宣姜,卫惠公,母子
鲁庄公,曹刿,君臣
齐桓公,公子纠,兄弟
鲁庄公,公子偃,君臣
宋闵公,南宫长万,君臣
宋闵公,宋废公*,被继承|兄弟
宋废公*,宋恒公,被继承|
萧叔大心,宋恒公,叔侄
萧叔大心,宋闵公,叔侄
萧叔大心,宋废公*,叔侄
鲁恒公,曹刿,君臣
齐桓公,宁戚,君臣
郑庄公,郑厉公,继承|父子
鲁庄公,季友,兄弟|亲弟弟
鲁庄公,庆父,兄弟|表弟
鲁庄公,哀姜,夫妻
鲁庄公,鲁闵公,继承
鲁闵公,鲁僖公,继承
卫懿公,卫文公,继承
齐桓公,蔡姬,夫妻
楚成王,蔡姬,夫妻
楚成王,屈完,君臣
齐桓公,管仲,君臣|相国
齐桓公,鲍叔牙,君臣
管仲,鲍叔牙,朋友
齐桓公,隰朋,君臣
齐桓公,易牙,君臣
齐桓公,卫公子开方,君臣
齐桓公,竖刁,君臣
楚武王,屈瑕,父子
楚武王,楚文王,继承|父子
楚文王,楚杜敖,继承|父子
息侯,桃花夫人,夫妻
楚文王,桃花夫人,夫妻
楚杜敖,楚成王,夺位|兄弟
楚文王,楚杜敖,父子
楚成王,楚杜敖,兄弟
楚成王,令尹子元,君臣|令尹
楚成王,令尹子文,君臣|令尹
晋献公,申生,父子
晋献公,晋文公,父子
晋献公,晋惠公,父子
晋献公,奚齐,继承|父子
奚齐,卓子,继承
骊姬,卓子,姨母
卓子,晋惠公,继承
晋献公,骊姬,夫妻
骊姬,奚齐,母子
晋献公,里克,君臣
晋献公,旬息,君臣
旬息,奚齐,托孤
秦襄公,秦武公,继承
秦武公,秦德公,继承
秦德公,秦穆公,继承
秦穆公,百里奚,君臣
秦穆公,蹇叔,君臣
百里奚,蹇叔,朋友
百里奚,孟明视,父子
蹇叔,白乙丙,父子
蹇叔,西乞术,父子
白乙丙,西乞术,兄弟
秦穆公,白乙丙,君臣军
秦穆公,孟明视,君臣
秦穆公,西乞术,君臣
晋惠公,吕甥,君臣
晋惠公,郤芮,君臣
晋惠公,里克,君臣
晋惠公,丕郑父,君臣
吕甥,郤芮,团队
里克,丕郑父,团队
丕郑父,丕豹,父子
秦穆公,丕豹,君臣
秦穆公,公孙枝,君臣
晋惠公,庆郑,君臣
晋惠公,韩简,君臣
秦穆公,穆姬,夫妻
穆姬,晋惠公,姐弟
穆姬,晋文公,姐弟
秦穆公,公子絷,父子
秦穆公,秦康公,继承|父子
穆姬,秦康公,母子
秦康公,秦共公,继承|父子
秦共公,秦桓公,继承|父子
秦桓公,秦景公,继承|父子
秦景公,秦哀公,继承|父子
秦哀公,秦夷公,继承|父子
秦夷公,秦惠公,继承|父子
秦惠公,秦悼公,继承|父子
秦悼公,秦厉共公,继承|父子
秦厉共公,秦躁公,继承|父子
秦躁公,秦怀公,继承|兄弟
秦怀公,秦灵公,继承|爷孙
秦灵公,秦简公,夺位|叔侄
秦简公,秦惠公*,继承|父子
秦惠公,秦出公,继承|父子
秦出公,秦献公,夺位|亲戚
秦献公,秦孝公,继承|父子
秦孝公,秦惠文王,继承|父子
秦惠文王,秦武王,继承|父子
秦武王,秦昭襄王,继承|兄弟
秦昭襄王,秦孝文王,继承|父子
秦孝文王,秦庄襄王,继承|父子
秦庄襄王,秦始皇帝,继承|父子
齐桓公,齐公子无亏,父子
公子无亏,易牙,团队
公子无亏,竖刁,团队
齐桓公,齐惠公,父子
齐桓公,齐孝公,继承|父子
齐孝公,宋襄公,团队
齐桓公,齐懿公,父子
齐桓公,齐公子雍,父子
齐桓公,齐昭公,父子
齐昭公,卫公子开方,团队
宋恒公,宋襄公,继承|父子
宋襄公,公子子鱼,兄弟
晋文公,狐偃,君臣
晋文公,赵衰,君臣
晋文公,先轸,君臣
晋文公,齐姜,夫妻
晋文公,逼姞,夫妻
逼姞,晋襄公,母子
齐桓公,齐姜,父女
楚成王,令尹子玉,君臣|令尹
晋惠公,晋怀公,父子
秦穆公,怀赢|文赢,父女
晋怀公,怀赢|文赢,夫妻
晋文公,怀赢|文赢,夫妻
秦穆公,晋文公,岳父
晋文公,魏犨,君臣
晋文公,介子推,君臣
郑文公,烛之武,君臣
郑文公,叔詹,君臣
晋文公,晋襄公,继承|父子
怀赢|文赢,晋襄公,母子
晋襄公,阳处父,君臣
楚成王,令尹子上,君臣|令尹
楚成王,楚穆王,夺位|父子
赵衰,赵盾,父子
赵衰,叔隗,夫妻
叔隗,赵盾,母子
晋文公,季隗,夫妻
叔隗,季隗,姐妹
狐偃,狐射姑,父子
晋襄公,赵盾,君臣
晋襄公,狐射姑,君臣|中军帅
阳处父,晋襄公,君臣|师生
胥臣,胥甲,父子
栾枝,栾盾,父子
郤芮,郤缺,父子
晋襄公,荀林父,君臣|中军佐
晋襄公,赵盾,君臣|中军帅
晋襄公,栾盾,君臣|下军帅
晋襄公,胥甲,君臣|下军佐
晋襄公,郤缺,君臣|上军帅
晋襄公,骈臾,君臣|上军佐
晋襄公,晋灵公,继承|父子
晋灵公,赵盾,君臣|中军帅
赵盾,赵穿,哥弟
宋襄公,宋成公,继承|父子
宋成公,宋废公,夺位|兄弟
宋废公,宋昭公,夺位|叔侄
晋灵公,晋成公,继承|侄叔
赵盾,赵朔,父子
晋成公,赵庄姬,父女
赵朔,赵庄姬,夫妻
赵朔,赵同,兄弟|同父异母
赵朔,赵括,兄弟|同父异母
赵朔,赵婴齐,兄弟|同父异母
赵婴齐,赵庄姬,情人
赵朔,赵武,父子
晋成公,晋景公,继承|父子
晋景公,韩厥,君臣
晋景公,公孙杵臼,君臣
晋景公,程婴,君臣
赵武,赵成,父子
赵成,赵简子,父子
赵简子,赵无恤,父子
楚穆王,楚庄王,继承|父子
楚庄王,伍参,君臣
楚庄王,成嘉,君臣|令尹
楚庄王,斗般,君臣|令尹
周定王,王孙满,君臣
楚若敖,斗伯比,父子
斗伯比,斗祁,父子
楚武王,斗祁,君臣|令尹
楚若敖,楚武王,爷孙
蒍贾,孙叔敖,父子
宋昭公,华元,君臣
宋文公,华元,君臣
宋共公,华元,君臣
宋平公,华元,君臣
楚庄王,子反,君臣
晋景公,郤克,君臣
郤缺,郤克,父子
齐顷公,逢丑父,君臣
楚庄王,巫臣,君臣
巫臣,夏姬,夫妻
晋景公,晋历公,继承|父子
楚庄王,养由基,君臣
楚共王,养由基,君臣
楚康王,养由基,君臣
晋历公,郤至,君臣
晋历公,郤犨,君臣
晋历公,郤锜,君臣
郤克,郤锜,父子
郤犨,郤至,叔侄
晋历公,晋悼公,继承|叔侄
魏犨,魏绛,爷孙
赵盾,赵武,爷孙
赵盾,韩厥,领导
晋悼公,韩厥,君臣|中军帅
晋悼公,魏绛,君臣|司马
晋悼公,赵武,君臣
晋悼公,中行偃,君臣
荀林父,荀首,哥弟
荀首,智罃,父子
荀林父,中行偃,父子
晋悼公,智罃,君臣|中军帅
楚庄王,楚共王,继承|父子
晋文公,士会,君臣
士会,范文子,父子
范文子,范宣子,父子
中行偃,范宣子,接班
栾盾,栾书,父子
栾书,栾黡,父子
栾黡,栾盈,父子
晋历公,栾书,君臣
栾盈,督戎,领导
范宣子,斐豹,领导
晋悼公,晋平公,继承|父子
晋平公,范宣子,君臣
晋平公,栾盈,君臣
晋昭公,魏献子,君臣
晋昭公,晋顷公,继承|父子
晋顷公,魏献子,君臣
晋平公,魏献子,君臣
晋平公,晋昭公,继承|父子
齐庄公,崔杼,君臣
齐庄公,齐景公,继承|兄弟
齐景公,晏婴,君臣|丞相
崔杼,崔夫人,夫妻
齐庄公,崔夫人,情人
齐景公,崔杼,君臣
齐景公,庆封,君臣
赵武,韩起,接班
楚共王,楚康王,继承|父子
楚康王,楚愍王,继承|父子
楚愍王,楚灵王,夺位|侄叔
楚灵王,伍举,君臣
伍参,伍举,父子
伍举,伍子胥,爷孙
楚灵王,楚平王,继承|兄弟
楚平王,斗成然,君臣|令尹
楚平王,费无极,君臣
伍参,伍子胥,父子
伍参,伍尚,父子
伍尚,伍子胥,兄弟
后稷,吴泰伯,祖宗
吴泰伯,季历,兄弟
季历,周文王,父子
寿梦,巫臣,君臣
寿梦,诸樊,父子
寿梦,佘祭,父子
寿梦,夷昧,父子
寿梦,季礼,父子
寿梦,诸樊,继承|父子
诸樊,佘祭,继承|兄弟
佘祭,夷昧,继承|兄弟
诸樊,僚,父子
夷昧,僚,继承
夷昧,阖闾,父子
阖闾,伍子胥,君臣
楚平王,楚昭王,继承|父子
僚,庆忌,父子
伍子胥,专诸,领导
晋顷公,晋定公,继承|父子
晋定公,魏舒,君臣|中军帅
晋定公,晋出公,继承|父子
